slug,occupation,isco,lse_2024_group_code,lse_2024_group_label,lse_2024_monthly_median,lse_2024_annual_benchmark,pay_previous,source_pay_previous,pay_dashboard,pay_refresh_method,pay_mapping_level,pay_mapping_confidence,jobs_2023_base,source_jobs_previous,jobs_dashboard_2024_calibrated,jobs_refresh_factor,jobs_refresh_method,source_pay,source_jobs
sachbearbeiter-verwaltung,Sachbearbeiter/-in (Verwaltung),4110,41,41 Allgemeine Büro- und Sekretariatskräfte,6637,86000,72000,BFS LSE 2022,86000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,120000,BFS SAKE 2023,120700,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 41,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
hr-fachmann,HR-Fachmann/-frau,2423,24,24 Betriebswirte und vergleichbare Spezialisten,9509,124000,88000,BFS LSE 2022,124000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,45000,BFS SAKE 2023,45300,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 24,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
sekretaer-in,Sekretär/-in,4120,41,41 Allgemeine Büro- und Sekretariatskräfte,6637,86000,65000,BFS LSE 2022,86000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,55000,BFS SAKE 2023,55300,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 41,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
zollbeamter,Zollbeamte/r,3351,33,33 Betriebswirtschaftliche und kaufmännische Fachkräfte und Verwaltungsfachkräfte,7900,103000,80000,EFV Bundesbesoldung,103000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,4800,Eidg. Zollverwaltung 2023,4800,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 33,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
detailhandelsfachmann,Detailhandelsfachmann/-frau,5221,52,52 Verkaufskräfte,4970,65000,58000,BFS LSE 2022,65000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,220000,BFS SAKE 2023,221300,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 52,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
einkaeufer-in,Einkäufer/-in,3323,33,33 Betriebswirtschaftliche und kaufmännische Fachkräfte und Verwaltungsfachkräfte,7900,103000,95000,BFS LSE 2022,103000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,28000,BFS SAKE 2023,28200,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 33,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
filialleiter,Filialleiter/-in (Detailhandel),1420,14,"14 Führungskräfte in Hotels und Restaurants, im Handel und in der Erbringung sonstiger Dienstleistungen",6723,87000,72000,BFS LSE 2022,87000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,35000,BFS SAKE 2023,35200,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 14,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
key-account-manager,Key Account Manager/-in,2433,24,24 Betriebswirte und vergleichbare Spezialisten,9509,124000,112000,BFS LSE 2022,124000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,18000,BFS SAKE 2023,18100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 24,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
lastwagenfahrer,Lastwagenfahrer/-in,8332,83,83 Fahrzeugführer und Bediener mobiler Anlagen,5951,77000,62000,BFS LSE 2022 / GAV Transport,62000,specialized_source_retained_lse_2024_benchmark_added,"CH-ISCO-19 Berufsgruppe, 2-Steller",benchmark,85000,BFS SAKE 2023,85500,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,"Spezialquelle beibehalten (GAV Transport); LSE 2024 CH-ISCO 83 Benchmark",BFS SAKE 2024 total-skaliert (2023 Berufsmix)
zugfuehrer-sbb,Zugführer/-in (SBB),8311,83,83 Fahrzeugführer und Bediener mobiler Anlagen,5951,77000,75000,SBB Gehaltstabelle,75000,specialized_source_retained_lse_2024_benchmark_added,"CH-ISCO-19 Berufsgruppe, 2-Steller",benchmark,6500,SBB 2023,6500,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,"Spezialquelle beibehalten (SBB Gehaltstabelle); LSE 2024 CH-ISCO 83 Benchmark",BFS SAKE 2024 total-skaliert (2023 Berufsmix)
pilot-in,Pilot/-in,3153,31,31 Ingenieurtechnische und vergleichbare Fachkräfte,7507,98000,185000,Branchendaten Swiss/Edelweiss,185000,specialized_source_retained_lse_2024_benchmark_added,"CH-ISCO-19 Berufsgruppe, 2-Steller",benchmark,3800,Bazl/SAKE 2023,3800,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,"Spezialquelle beibehalten (Branchendaten Swiss/Edelweiss); LSE 2024 CH-ISCO 31 Benchmark",BFS SAKE 2024 total-skaliert (2023 Berufsmix)
logistiker-in,Logistiker/-in,4321,43,"43 Bürokräfte im Finanz- und Rechnungswesen, in der Statistik und in der Materialwirtschaft",6035,78000,68000,BFS LSE 2022,78000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,55000,BFS SAKE 2023,55300,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 43,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
lagerfachmann,Lagerfachmann/-frau,9333,93,"93 Hilfsarbeiter im Bergbau, im Bau, bei der Herstellung von Waren und im Transportwesen",5541,72000,58000,BFS LSE 2022,72000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,42000,BFS SAKE 2023,42200,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 93,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
